Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2021-04-18,10.6,2.6,7.045833333333333,71.95833333333333,46.583333333333336,5.4,6.9,213.16666666666666,0.0
2021-04-19,13.1,3.4,8.950000000000001,63.958333333333336,23.625,1.3,6.3,224.54166666666666,0.0
2021-04-20,14.1,3.7,9.475,61.916666666666664,26.125,1.7999999999999998,7.0,233.08333333333334,0.0
2021-04-21,11.8,5.2,8.512500000000001,82.33333333333333,86.29166666666667,8.2,8.4,245.0,51.0
2021-04-22,15.1,4.8,10.516666666666667,66.95833333333333,15.583333333333334,0.8,5.5,231.125,0.0
2021-04-23,17.4,6.5,12.5,64.29166666666667,13.791666666666666,0.0,7.5,230.20833333333334,0.0
2021-04-24,18.8,8.8,13.729166666666666,67.95833333333333,31.041666666666668,0.0,8.0,230.5,0.0
2021-04-25,20.4,8.8,15.395833333333334,61.958333333333336,55.583333333333336,0.0,8.1,229.91666666666666,3.0
2021-04-26,14.6,10.3,12.366666666666667,90.58333333333333,99.66666666666667,16.5,8.2,152.29166666666666,53.0
2021-04-27,10.9,8.9,9.791666666666666,96.20833333333333,99.91666666666667,6.9,7.6,140.25,51.0
2021-04-28,11.9,9.5,10.495833333333334,96.66666666666667,99.79166666666667,9.5,8.2,164.54166666666666,51.0
2021-04-29,14.2,8.7,11.545833333333334,94.41666666666667,83.16666666666667,9.6,8.4,182.54166666666666,51.0
2021-04-30,14.7,7.6,11.4625,88.83333333333333,83.0,4.8999999999999995,9.4,227.625,3.0
2021-05-01,12.8,7.0,10.491666666666667,94.58333333333333,92.875,13.0,5.2,209.0,3.0
2021-05-02,16.5,6.2,11.8375,51.75,16.0,0.0,10.8,284.4166666666667,0.0
2021-05-03,15.7,3.8,10.395833333333334,58.166666666666664,12.875,0.0,11.8,222.95833333333334,0.0
2021-05-04,16.8,5.8,12.216666666666667,70.95833333333333,46.625,3.2,7.4,222.70833333333334,0.0
2021-05-05,18.1,7.2,12.4,59.708333333333336,10.791666666666666,0.6000000000000001,7.2,247.75,0.0
2021-05-06,17.7,6.7,12.533333333333333,58.25,52.75,7.6,8.0,243.25,0.0
2021-05-07,19.5,9.8,14.416666666666666,60.125,48.25,2.0,9.5,264.9166666666667,1.0
2021-05-08,16.1,8.1,13.258333333333333,65.25,58.875,0.0,8.9,201.0,3.0
